cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	neuron_type	sh	unstable
279	1390.00000000	11.60000000	mua	100.11981964	181	1860.00000000	14.66157249	mua	58563		0	
285	820.80000000	34.80000000	mua	63.63902283	189	1960.00000000	2.92590540		11687		0	
287	1260.30000000	11.20000000	mua	95.81031036	189	1960.00000000	27.51382536	mua	109899		0	
288	946.60000000	57.80000000	mua	75.31782532	187	1940.00000000	1.56472223		6250		0	
289	3326.30000000	0.30000000	good	110.56253052	187	1940.00000000	17.37292317	mua	69393		0	
292	899.30000000	2.00000000	good	84.96220398	188	1940.00000000	18.32953175	mua	73214		0	
293	582.30000000	0.00000000	good	73.79869080	190	1960.00000000	1.15839516		4627		0	
295	1397.80000000	100.00000000	mua	127.43023682	201	2080.00000000	0.00751067		30		0	
296	1590.30000000	0.00000000	good	100.96015930	229	2360.00000000	38.40228925	mua	153391		0	
297	1333.60000000	1.00000000	good	130.63481140	230	2380.00000000	19.56578749	mua	78152		0	
298	3516.90000000	0.00000000	good	144.69743347	232	2400.00000000	33.64077691	mua	134372		0	
299	1219.60000000	0.80000000	good	111.28254700	235	2420.00000000	14.63929084	mua	58474		0	
300	1097.30000000	0.80000000	good	102.60245514	240	2480.00000000	101.03273754	good	403557	pPC	0	
301	2126.80000000	0.00000000	good	130.86161804	238	2460.00000000	15.58939018	mua	62269		0	
303	1147.30000000	1.00000000	good	103.03868103	239	2460.00000000	29.34192164	mua	117201		0	
304	1303.20000000	4.70000000	good	132.34118652	239	2460.00000000	16.03602450	mua	64053		0	
309	583.60000000	100.00000000	mua	53.38386917	247	2540.00000000	0.01076529		43		0	
313	756.10000000	0.00000000	mua	63.93801880	253	2600.00000000	0.05232431		209		0	
314	652.30000000	3.00000000	good	59.47614288	255	2620.00000000	7.92150018	mua	31641		0	
316	2009.80000000	0.70000000	good	156.88073730	260	2680.00000000	17.42725033	mua	69610		0	
320	859.90000000	0.80000000	good	89.38235474	262	2700.00000000	14.17838626	mua	56633		0	
321	975.70000000	0.10000000	good	81.06074524	264	2720.00000000	46.72836401	good	186648	pPC	0	y
322	1027.70000000	0.80000000	good	111.83939362	268	2760.00000000	44.48743142	good	177697		0	y
323	850.20000000	15.30000000	mua	73.08766937	271	2800.00000000	3.83870176	mua	15333		0	
324	279.20000000	48.60000000	mua	20.75316620	286	2940.00000000	5.80299146	mua	23179		0	
325	1026.90000000	341.20000000	mua	63.46003723	297	3060.00000000	0.05658036		226		0	
326	279.40000000	8.80000000	mua	20.48906136	307	3160.00000000	10.88445820	mua	43476		0	
327	338.40000000	38.80000000	mua	21.88469696	307	3160.00000000	8.75693667	mua	34978		0	
328	290.50000000	557.10000000	mua	23.47976303	330	3400.00000000	0.04055760		162		0	
329	292.50000000	34.60000000	mua	17.81731987	329	3380.00000000	12.30597705	mua	49154		0	
330	358.10000000	29.30000000	mua	20.11598778	329	3380.00000000	10.91800584	mua	43610		0	
331	270.10000000	32.80000000	mua	18.70944023	352	3620.00000000	13.67492124	mua	54622		0	
332	420.60000000	32.40000000	mua	20.22542572	350	3600.00000000	12.59063132	mua	50291		0	
333	8531.90000000	528.20000000	mua	135.85710144	2	40.00000000	0.09538547		381		0	
334	916.80000000	249.60000000	mua	71.24787903	15	160.00000000	0.07160169		286		0	
335	2999.70000000	61.90000000	mua	139.06927490	15	160.00000000	0.08912658		356		0	
336	1708.70000000	70.80000000	mua	129.99888611	16	180.00000000	0.54978080		2196		0	
337	1265.60000000	260.00000000	mua	91.40726471	17	180.00000000	0.02628733		105		0	
338	1611.40000000	16.00000000	mua	139.13502502	22	240.00000000	0.58508094		2337		0	
339	1992.10000000	334.20000000	mua	106.12120056	29	300.00000000	0.19402556		775		0	
340	2531.90000000	361.40000000	mua	101.42339325	27	280.00000000	0.13293880		531		0	
341	4231.40000000	262.60000000	mua	114.37120056	28	300.00000000	0.12092173		483		0	
342	2686.40000000	312.00000000	mua	110.30113220	28	300.00000000	0.21180080		846		0	
343	1878.40000000	102.50000000	mua	108.41764832	28	300.00000000	1.71819019		6863		0	
344	2921.90000000	311.80000000	mua	129.05914307	28	300.00000000	0.07410524		296		0	
345	2433.90000000	66.90000000	mua	100.98292542	27	280.00000000	0.32095582		1282		0	
346	1176.60000000	100.00000000	mua	103.75019836	30	320.00000000	0.00876244		35		0	
347	2604.30000000	276.60000000	mua	107.09278870	31	320.00000000	0.38479649		1537		0	
348	3402.50000000	233.00000000	mua	111.39810181	31	320.00000000	0.47442378		1895		0	
349	1432.30000000	85.50000000	mua	102.04776001	29	300.00000000	1.23174934		4920		0	
350	1611.50000000	248.90000000	mua	121.37453461	29	300.00000000	0.05257467		210		0	
351	1083.10000000	200.00000000	mua	83.14590454	31	320.00000000	0.05633000		225		0	
